          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.84988,                0.73691,                 1.3733,                0.90346,                0.94211,                0.97302,                0.83572,                 0.6007,                0.61697,                 1.0862,               0.001208,               0.001208,               0.001208
                     82,                 0.8054,                0.71296,                 1.3347,                0.94098,                0.93684,                0.98359,                0.84524,                0.57746,                0.55861,                 1.0416,              0.0011981,              0.0011981,              0.0011981
                     83,                0.81748,                0.72829,                 1.3504,                0.94382,                0.97261,                0.98626,                0.88875,                0.46581,                0.50579,                 0.9528,              0.0011882,              0.0011882,              0.0011882
                     84,                0.80193,                0.70718,                 1.3427,                0.94311,                0.95973,                0.98455,                0.87631,                0.52583,                0.53844,                 1.0019,              0.0011783,              0.0011783,              0.0011783
                     85,                0.80641,                0.70027,                 1.3428,                  0.889,                0.95263,                0.97512,                0.86703,                 0.5226,                0.66186,                0.98465,              0.0011684,              0.0011684,              0.0011684
                     86,                0.78251,                0.68766,                 1.3323,                0.82006,                0.93545,                0.95287,                0.74163,                0.68174,                0.96518,                 1.1791,              0.0011585,              0.0011585,              0.0011585
                     87,                0.80984,                0.69426,                 1.3453,                0.87768,                0.96842,                0.96814,                0.78108,                0.71068,                0.83792,                 1.1576,              0.0011486,              0.0011486,              0.0011486
                     88,                0.78186,                0.68222,                 1.3242,                0.96195,                0.93146,                0.98828,                0.87828,                0.47272,                0.54839,                0.96062,              0.0011387,              0.0011387,              0.0011387
                     89,                0.79148,                0.69384,                 1.3465,                0.97194,                0.94211,                0.98676,                0.86959,                0.53915,                0.66275,                 1.0222,              0.0011288,              0.0011288,              0.0011288
                     90,                0.79495,                0.69121,                 1.3461,                0.93461,                0.92105,                0.98227,                0.87807,                0.52629,                0.61416,                0.98618,              0.0011189,              0.0011189,              0.0011189
                     91,                0.79939,                0.66867,                 1.3506,                 0.9396,                0.98248,                0.98971,                0.88487,                0.53822,                0.53925,                0.98762,               0.001109,               0.001109,               0.001109
                     92,                 0.7766,                0.64366,                 1.3195,                0.90486,                0.95107,                 0.9823,                0.85111,                0.56804,                0.74283,                 1.0524,              0.0010991,              0.0010991,              0.0010991
                     93,                0.75111,                0.63377,                 1.3028,                0.93572,                0.97895,                0.98822,                0.86805,                0.54104,                0.56317,                 1.0217,              0.0010892,              0.0010892,              0.0010892
                     94,                0.73945,                0.61625,                 1.2818,                0.85706,                0.90526,                0.95698,                 0.8034,                 0.6551,                0.76433,                 1.1236,              0.0010793,              0.0010793,              0.0010793
                     95,                0.75243,                0.62993,                 1.3085,                0.95415,                0.98577,                0.99006,                 0.8965,                 0.4864,                0.46733,                0.97728,              0.0010694,              0.0010694,              0.0010694
                     96,                 0.7158,                0.59584,                 1.2709,                0.94212,                0.98421,                0.99051,                 0.8854,                0.47221,                0.52117,                0.96391,              0.0010595,              0.0010595,              0.0010595
                     97,                0.75503,                0.64333,                 1.2966,                0.96585,                0.95263,                0.98764,                0.88292,                0.52201,                0.61694,                0.97844,              0.0010496,              0.0010496,              0.0010496
                     98,                0.75745,                0.63727,                  1.317,                0.94669,                0.96842,                0.98372,                 0.8806,                0.48673,                0.62182,                0.96757,              0.0010397,              0.0010397,              0.0010397
                     99,                0.70077,                0.60735,                 1.2716,                0.92547,                0.95263,                0.98217,                0.85849,                0.52362,                0.56815,                  0.981,              0.0010298,              0.0010298,              0.0010298
                    100,                0.74937,                0.63804,                  1.305,                0.90073,                0.87895,                 0.9554,                 0.7937,                0.62789,                0.98947,                 1.0977,              0.0010199,              0.0010199,              0.0010199
                    101,                0.67507,                0.59268,                 1.2346,                 0.9769,                0.97368,                0.99122,                0.91883,                0.42795,                0.40123,                  0.902,                0.00101,                0.00101,                0.00101
                    102,                0.70734,                0.60608,                 1.2659,                0.93307,                 0.9539,                0.98548,                0.90513,                0.45938,                0.52071,                0.91461,              0.0010001,              0.0010001,              0.0010001
                    103,                0.72696,                  0.627,                  1.282,                 0.9404,                0.98421,                 0.9919,                0.90507,                0.47811,                0.49671,                0.93707,              0.0009902,              0.0009902,              0.0009902
                    104,                0.66705,                0.57195,                 1.2372,                0.88308,                0.93158,                0.97837,                0.86711,                0.51645,                0.55801,                0.99936,              0.0009803,              0.0009803,              0.0009803
                    105,                0.73749,                0.63405,                 1.3041,                0.95779,                0.95531,                0.98833,                0.87592,                0.48012,                0.46439,                0.96913,              0.0009704,              0.0009704,              0.0009704
                    106,                0.66946,                0.57111,                 1.2251,                0.95818,                0.96316,                0.99117,                0.89044,                0.47866,                0.50449,                0.92784,              0.0009605,              0.0009605,              0.0009605
                    107,                0.64658,                 0.5629,                 1.2252,                0.97412,                0.99057,                0.99346,                0.93061,                0.39457,                0.39228,                0.88399,              0.0009506,              0.0009506,              0.0009506
                    108,                  0.686,                0.57738,                 1.2602,                0.95811,                0.96292,                0.98951,                0.89894,                0.47106,                 0.5069,                0.94284,              0.0009407,              0.0009407,              0.0009407
                    109,                0.70874,                0.58185,                 1.2757,                 0.9738,                0.97824,                0.99165,                0.90869,                0.42465,                0.44335,                0.90522,              0.0009308,              0.0009308,              0.0009308
                    110,                0.71591,                0.60001,                 1.2649,                0.88786,                0.93158,                 0.9635,                0.81967,                0.59549,                0.70255,                 1.0195,              0.0009209,              0.0009209,              0.0009209
                    111,                0.70704,                0.60808,                 1.2646,                0.93292,                0.93684,                0.97937,                 0.8591,                0.49362,                0.57953,                0.97508,               0.000911,               0.000911,               0.000911
                    112,                0.67089,                0.57995,                 1.2398,                0.89787,                 0.9717,                 0.9802,                0.88286,                0.49021,                0.62543,                0.92557,              0.0009011,              0.0009011,              0.0009011
                    113,                0.69539,                0.57675,                 1.2507,                0.92751,                0.94273,                0.98183,                0.87135,                0.51077,                0.57146,                 0.9956,              0.0008912,              0.0008912,              0.0008912
                    114,                0.68608,                0.59703,                 1.2487,                0.96797,                0.95449,                0.98953,                0.91015,                 0.4219,                0.50724,                0.90848,              0.0008813,              0.0008813,              0.0008813
                    115,                0.66615,                0.56587,                 1.2253,                0.97039,                0.95789,                0.98931,                0.93495,                 0.3705,                0.49758,                0.86072,              0.0008714,              0.0008714,              0.0008714
                    116,                0.68047,                0.57861,                 1.2438,                  0.948,                0.95953,                0.99063,                0.88818,                0.46287,                0.49979,                 0.9724,              0.0008615,              0.0008615,              0.0008615
                    117,                0.65785,                0.56258,                 1.2255,                 0.9745,                0.95789,                0.99009,                0.90613,                0.42159,                0.49924,                0.92246,              0.0008516,              0.0008516,              0.0008516
                    118,                0.65759,                0.55729,                 1.2422,                0.95951,                 0.9978,                0.99328,                0.89922,                0.46071,                0.39981,                0.92239,              0.0008417,              0.0008417,              0.0008417
                    119,                0.64539,                0.53811,                 1.2194,                0.91035,                0.97895,                0.98657,                 0.8868,                0.46735,                0.52679,                0.95798,              0.0008318,              0.0008318,              0.0008318
                    120,                0.63298,                0.53884,                 1.2274,                0.98935,                0.97804,                0.99289,                0.91462,                  0.413,                0.38049,                 0.9245,              0.0008219,              0.0008219,              0.0008219
                    121,                 0.6501,                0.55972,                 1.2374,                0.98423,                0.98553,                 0.9939,                0.92347,                 0.3951,                0.36493,                0.89337,               0.000812,               0.000812,               0.000812
                    122,                0.61486,                0.53349,                 1.2041,                0.92992,                0.95789,                0.97957,                0.90005,                 0.4492,                0.53658,                0.92939,              0.0008021,              0.0008021,              0.0008021
                    123,                0.61879,                0.54897,                 1.2008,                0.96132,                0.97368,                0.98707,                 0.9094,                0.41114,                0.45515,                0.87048,              0.0007922,              0.0007922,              0.0007922
                    124,                0.60494,                0.50774,                 1.1879,                 0.9777,                0.98421,                0.99244,                0.93225,                0.38141,                0.40415,                0.85303,              0.0007823,              0.0007823,              0.0007823
                    125,                0.63449,                0.54818,                 1.2224,                0.97608,                0.98947,                0.99367,                0.93197,                 0.3878,                 0.3819,                0.87949,              0.0007724,              0.0007724,              0.0007724
                    126,                0.61125,                0.53417,                 1.2099,                0.96678,                0.98421,                0.99209,                0.90842,                0.41606,                0.49547,                 0.9239,              0.0007625,              0.0007625,              0.0007625
                    127,                0.59385,                0.51071,                 1.1828,                0.91995,                0.96771,                0.97806,                0.90327,                0.39546,                0.57382,                0.89029,              0.0007526,              0.0007526,              0.0007526
                    128,                0.59052,                0.49556,                 1.1721,                0.96642,                0.93158,                0.98607,                0.91722,                0.41569,                0.50879,                0.88519,              0.0007427,              0.0007427,              0.0007427
                    129,                0.60327,                0.52115,                 1.1828,                0.97389,                0.96316,                0.98702,                0.92022,                0.41309,                0.51892,                0.88962,              0.0007328,              0.0007328,              0.0007328
                    130,                0.62214,                0.51552,                 1.2018,                0.95065,                0.96316,                0.98382,                0.90783,                0.41818,                0.52171,                0.90322,              0.0007229,              0.0007229,              0.0007229
                    131,                0.63224,                0.52397,                 1.1834,                0.96601,                0.96316,                0.99269,                0.91399,                0.40591,                0.40652,                0.90445,               0.000713,               0.000713,               0.000713
                    132,                0.61665,                0.52893,                 1.1889,                0.98421,                0.98411,                 0.9936,                0.93535,                 0.3716,                0.35521,                0.85189,              0.0007031,              0.0007031,              0.0007031
                    133,                0.58979,                0.49928,                 1.1873,                0.94912,                0.98179,                0.99193,                0.93844,                0.35324,                0.38604,                0.84859,              0.0006932,              0.0006932,              0.0006932
                    134,                0.61067,                0.51402,                 1.1926,                0.93017,                0.98421,                0.98451,                0.90798,                0.40267,                0.47307,                0.90113,              0.0006833,              0.0006833,              0.0006833
                    135,                0.58818,                0.50068,                 1.1761,                0.93291,                0.98947,                0.98993,                0.92051,                0.39286,                0.43787,                0.90162,              0.0006734,              0.0006734,              0.0006734
                    136,                0.58487,                0.51967,                 1.1775,                0.93929,                      1,                0.98474,                0.91248,                0.40849,                0.41909,                0.88826,              0.0006635,              0.0006635,              0.0006635
                    137,                0.56904,                0.50492,                 1.1546,                0.96526,                0.97895,                0.98923,                0.91965,                0.37989,                0.40361,                0.89542,              0.0006536,              0.0006536,              0.0006536
                    138,                0.61106,                0.49008,                 1.1836,                0.92922,                 0.9673,                0.98757,                0.90148,                0.42607,                0.44919,                0.93203,              0.0006437,              0.0006437,              0.0006437
                    139,                0.60873,                0.50406,                 1.1777,                0.98936,                0.97892,                0.99443,                0.94165,                0.36083,                0.31107,                0.85984,              0.0006338,              0.0006338,              0.0006338
                    140,                0.58277,                0.49673,                 1.1676,                0.98437,                0.99471,                0.99463,                0.93696,                0.35551,                0.32721,                0.85593,              0.0006239,              0.0006239,              0.0006239
                    141,                0.59401,                0.49531,                 1.1724,                0.95444,                0.97895,                0.99213,                0.92138,                0.39148,                0.42084,                0.89262,               0.000614,               0.000614,               0.000614
                    142,                0.58386,                0.49492,                 1.1893,                0.94901,                0.97895,                0.98615,                0.92727,                0.38109,                0.47436,                0.85811,              0.0006041,              0.0006041,              0.0006041
                    143,                0.58367,                0.50208,                 1.1767,                0.98234,                      1,                0.99388,                0.94067,                 0.3755,                0.39063,                0.87917,              0.0005942,              0.0005942,              0.0005942
                    144,                0.56162,                 0.4802,                 1.1624,                0.95988,                0.99474,                0.99178,                0.93791,                0.34712,                0.41869,                0.86028,              0.0005843,              0.0005843,              0.0005843
                    145,                0.54523,                0.46524,                 1.1473,                0.95545,                0.96842,                0.98992,                 0.9359,                0.36238,                0.38446,                0.86902,              0.0005744,              0.0005744,              0.0005744
                    146,                0.55843,                0.48015,                 1.1621,                 0.9946,                 0.9702,                0.99423,                0.94269,                0.35568,                0.31492,                0.86441,              0.0005645,              0.0005645,              0.0005645
                    147,                0.56679,                0.47087,                 1.1622,                0.98774,                0.97368,                 0.9938,                0.95178,                0.33876,                0.33461,                0.84205,              0.0005546,              0.0005546,              0.0005546
                    148,                0.57516,                0.49265,                  1.168,                0.98412,                0.97856,                0.99385,                0.94173,                0.37547,                0.32877,                0.84833,              0.0005447,              0.0005447,              0.0005447
                    149,                0.55119,                0.47383,                 1.1423,                0.97399,                0.98527,                0.99378,                0.94667,                0.34565,                0.35939,                0.85109,              0.0005348,              0.0005348,              0.0005348
                    150,                0.54371,                0.45632,                 1.1458,                0.94482,                0.99139,                0.98427,                0.94036,                0.35234,                0.43931,                0.84306,              0.0005249,              0.0005249,              0.0005249
                    151,                0.54533,                 0.4664,                 1.1529,                0.93927,                0.97685,                0.97699,                0.93266,                0.35561,                0.46765,                0.85856,               0.000515,               0.000515,               0.000515
