          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.4736,                 1.3574,                 1.9754,                0.59889,                0.58152,                0.50491,                0.19442,                 1.9187,                 2.8199,                  2.453,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.4258,                 1.2857,                 1.9348,                0.65627,                0.71348,                0.62832,                 0.2645,                  1.679,                 2.7131,                 2.2128,               0.001406,               0.001406,               0.001406
                     62,                 1.4148,                 1.3354,                 1.9209,                0.76928,                0.80526,                0.88527,                0.64043,                 1.0146,                 1.3653,                 1.5514,              0.0013961,              0.0013961,              0.0013961
                     63,                  1.331,                 1.2151,                 1.8423,                0.83116,                0.75789,                0.88004,                0.64479,                 1.0466,                 1.2894,                 1.5834,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.3552,                 1.2563,                 1.8865,                0.83018,                0.84211,                0.91999,                0.68968,                0.94268,                 1.2109,                 1.4829,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.4028,                 1.2893,                 1.9077,                0.77402,                0.87895,                0.89078,                0.62289,                 1.0385,                 1.1975,                 1.5791,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.3798,                 1.2913,                 1.8979,                0.82434,                0.92632,                0.92856,                0.69653,                0.92543,                 1.0279,                 1.4756,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.4253,                 1.2863,                 1.9016,                0.86959,                0.81053,                0.92012,                0.65966,                 1.0591,                0.98445,                 1.5483,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.3544,                 1.2194,                 1.8394,                0.82556,                0.81579,                0.90326,                0.64811,                 1.0174,                 1.1798,                 1.5886,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.3204,                 1.1923,                 1.8395,                0.83261,                    0.8,                0.87449,                0.66673,                0.98225,                 1.1657,                 1.5156,              0.0013268,              0.0013268,              0.0013268
